fold_type,candidate,mean_score,std_score,worst_fold,best_fold,n_folds
quarter_tree,tree_calibrated,0.5992469290227381,0.012230992738618067,0.5874258263664223,0.6163662202248531,4
quarter_tree,tree_raw,0.5957099976044443,0.01700523382423777,0.5727781735059239,0.6135038151507719,4
yearly,pinn_mixed_g3,0.6136333881353757,0.01103653019789891,0.6058293827916712,0.6214373934790801,2
yearly,pinn_standard,0.6125123762002034,0.009451179915596205,0.6058293827916712,0.6191953696087356,2
yearly,blend_tree_cal_pinn0.5,0.6111867655100244,0.01963465535130826,0.5973029675648536,0.6250705634551952,2
yearly,blend_tree_cal_pinn0.3,0.6027107044858997,0.01990917737753872,0.5886327901543962,0.6167886188174031,2
yearly,blend_tree_cal_pinn0.2,0.5979068225600819,0.02007642662557462,0.5837106451511439,0.6121029999690198,2
yearly,blend_tree_cal_pinn0.1,0.5927753272647924,0.019133218584107135,0.5792460986580459,0.6063045558715391,2
yearly,tree_calibrated,0.5880668911053275,0.017705385010213848,0.5755472933010866,0.6005864889095683,2
yearly,tree_raw,0.5847303266917557,0.017210459447217406,0.5725606941092922,0.5968999592742192,2
