group,model,nmae,ficr
kpx_group_1,random_forest,0.1026916684458542,0.45508191596388586
kpx_group_1,lgbm,0.11126738339380056,0.4200374418371765
kpx_group_1,xgb,0.10562821846717581,0.4438661316960902
kpx_group_1,ensemble,0.103221498887886,0.44716998537589203
kpx_group_2,random_forest,0.10780405124726983,0.45457801139446646
kpx_group_2,lgbm,0.11599357568098961,0.4061531659825024
kpx_group_2,xgb,0.10886588437442674,0.44642534173380755
kpx_group_2,ensemble,0.1075280853213437,0.44576370888289707
kpx_group_3,random_forest,0.11693144526305281,0.3875842188471439
kpx_group_3,lgbm,0.12314262067507098,0.3567071610817421
kpx_group_3,xgb,0.11560155070031611,0.3975547100360718
kpx_group_3,ensemble,0.11490124449704808,0.3877673564039162
