variant,mean_score,mean_nmae,mean_ficr,worst_year_score,std_year_score
dynamic_fixed_50_15_35,0.6435066333927563,0.1284852183183893,0.4154984851039019,0.6328754466642127,0.007894876766675583
share_a075_fixed_50_15_35,0.6430723652772733,0.12724036195903585,0.41338509251358246,0.6315464145377856,0.00824070678219248
share_a050_fixed_50_15_35,0.6423927434293435,0.12643868740963363,0.41122417426832075,0.629355009262474,0.009277209743403809
share_a025_fixed_50_15_35,0.6420188178822568,0.12580096170324506,0.4098385974677585,0.629305934994658,0.008990550950510311
share_a075_pinn_floor20,0.6379123527906443,0.13308816590192632,0.40891287148321487,0.6282098167345894,0.007614301678955236
share_a050_pinn_floor20,0.6368099981880746,0.13099172652756919,0.4046117229037183,0.6260493448595138,0.00802868280956409
share_a075_pinn_raw,0.6366392418786028,0.1334580134039015,0.406736497161107,0.6270626463632621,0.0078031888475975
share_a050_pinn_raw,0.6348286149181487,0.13179944252944018,0.4014566723657376,0.6246899479690747,0.007876125893422707
share_a025_pinn_floor20,0.6347751715935673,0.129501083326832,0.3990514265139668,0.6241145064150877,0.007598680349626463
dynamic_pinn_floor20,0.6342195180937832,0.13661613257019697,0.40505516875776343,0.6261129560929769,0.009211973077376477
dynamic_pinn_raw,0.6331724043009994,0.13677171151300024,0.4031165201149991,0.6260791881605886,0.009165453621782668
share_a025_pinn_raw,0.6325395541642174,0.13042370004591797,0.39550280837435275,0.6219350908718609,0.0076314266248787834
