pred_year,train_years,train_policy,model,group,score,nmae,ficr,n,n_train,n_used
2022,"2023,2024",best_lgbm_v2_l1,lgbm_best,kpx_group_1,0.6335780325719766,0.12761822436479692,0.3947742895087504,8664,17535.0,10498.0
2023,"2022,2024",best_lgbm_v2_l1,lgbm_best,kpx_group_1,0.6047121027329907,0.13015618434121168,0.3395803898071931,8757,17442.0,10405.0
2024,"2022,2023",best_lgbm_v2_l1,lgbm_best,kpx_group_1,0.6294927808683277,0.11627059182593241,0.37525615356258774,8778,17421.0,10925.0
2022,"2023,2024",best_lgbm_v2_l1,lgbm_best,kpx_group_2,0.6381170736201449,0.12308056564066615,0.39931471288095594,8664,17536.0,10450.0
2023,"2022,2024",best_lgbm_v2_l1,lgbm_best,kpx_group_2,0.6375228693236688,0.1282194447720305,0.4032651834193681,8758,17442.0,10416.0
2024,"2022,2023",best_lgbm_v2_l1,lgbm_best,kpx_group_2,0.6677058162727836,0.11964494497309842,0.4550565775186656,8778,17422.0,10914.0
2023,"2022,2024",best_lgbm_v2_l1,lgbm_best,kpx_group_3,0.5776430862801756,0.15259170712680645,0.30787787968715763,8759,8778.0,4566.0
2024,"2022,2023",best_lgbm_v2_l1,lgbm_best,kpx_group_3,0.5878799706783984,0.13361129606134303,0.3093712374181398,8778,8759.0,4847.0
2022,,best_lgbm_v2_l1,lgbm_best,fold_mean,0.6358475530960608,0.12534939500273154,0.39704450119485313,17328,,
2023,,best_lgbm_v2_l1,lgbm_best,fold_mean,0.6066260194456117,0.1369891120800162,0.3502411509712396,26274,,
2024,,best_lgbm_v2_l1,lgbm_best,fold_mean,0.6283595226065032,0.12317561095345796,0.3798946561664644,26334,,
