train_policy,model,mean_score,mean_nmae,mean_ficr,worst_fold,std_score,n_folds
metric_valid,model_mean,0.6115669828902953,0.13044760597536753,0.35358157175595806,0.5921740499181642,0.01706944208149742,3
metric_valid,lgbm_tuned,0.611461235559584,0.13102553622283683,0.35394800734200477,0.592124687701774,0.01713306571003219,3
metric_valid,lgbm_regularized,0.6106610196697718,0.13093142480727696,0.3522534641468207,0.5921783611927379,0.016365049701986156,3
all,lgbm_regularized,0.5980865444437122,0.13619575322520008,0.33236884211262446,0.5826735641374219,0.013349670818563347,3
all,model_mean,0.5980392516421333,0.1359994137461453,0.33207791703041195,0.5821902178445483,0.013747556630303377,3
all,lgbm_tuned,0.5967392357294814,0.13697496189456299,0.33045343335352584,0.5807147585137269,0.013891858182207078,3
