teacher_variant,variant,group,score,nmae,ficr
none,raw,kpx_group_1,0.612429188586536,0.12348072931941963,0.34833910649249183
none,pooled_isotonic,kpx_group_1,0.6194580019502149,0.12351405591802347,0.3624300598184533
none,raw,kpx_group_2,0.6382242783519447,0.12398796283552346,0.40043651953941306
none,pooled_isotonic,kpx_group_2,0.6450138852181588,0.12562705479160086,0.4156548252279184
none,raw,kpx_group_3,0.563898307796338,0.14741213514877094,0.2752087507414468
none,pooled_isotonic,kpx_group_3,0.5636845531007073,0.14834098856944528,0.27571009477086006
rf_cubic,raw,kpx_group_1,0.6088588974575319,0.13104837180586415,0.3487661667209279
rf_cubic,pooled_isotonic,kpx_group_1,0.6107409091629904,0.13144663114541935,0.3529284494714001
rf_cubic,raw,kpx_group_2,0.6361600412551978,0.13303830514107337,0.4053583876514689
rf_cubic,pooled_isotonic,kpx_group_2,0.6356040806338299,0.13424194595084576,0.4054501072185056
rf_cubic,raw,kpx_group_3,0.5548307461991564,0.15215431225093856,0.26181580464925136
rf_cubic,pooled_isotonic,kpx_group_3,0.5541562599670333,0.15283511130308727,0.2611476312371538
rf_p90,raw,kpx_group_1,0.6088597486766029,0.13104666936772227,0.3487661667209279
rf_p90,pooled_isotonic,kpx_group_1,0.6107666469477825,0.13144081563954663,0.3529741095351116
rf_p90,raw,kpx_group_2,0.636160532949106,0.13303732175325675,0.4053583876514689
rf_p90,pooled_isotonic,kpx_group_2,0.635781744888267,0.13424111353733614,0.40580460331387025
rf_p90,raw,kpx_group_3,0.5544517323036781,0.15228826557016498,0.261191730177521
rf_p90,pooled_isotonic,kpx_group_3,0.5539404532709061,0.15298330903042237,0.26086421557223455
rf_hist_cubic,raw,kpx_group_1,0.6116384368783797,0.12852180956893158,0.351798683325691
rf_hist_cubic,pooled_isotonic,kpx_group_1,0.6154104300000194,0.1289626698156589,0.3597835298156978
rf_hist_cubic,raw,kpx_group_2,0.6336860067348979,0.1317037809750783,0.3990757944448743
rf_hist_cubic,pooled_isotonic,kpx_group_2,0.6330186553424713,0.13276090105932956,0.398798211744272
rf_hist_cubic,raw,kpx_group_3,0.5615199846424734,0.15157947280183814,0.27461944208678496
rf_hist_cubic,pooled_isotonic,kpx_group_3,0.5609212206031848,0.15225457966137682,0.27409702086774645
rf_hist_p90,raw,kpx_group_1,0.6116382112244014,0.12852226087688806,0.351798683325691
rf_hist_p90,pooled_isotonic,kpx_group_1,0.6152176372621694,0.12896435999809563,0.3593996345224344
rf_hist_p90,raw,kpx_group_2,0.6336866627365896,0.131702468971695,0.3990757944448743
rf_hist_p90,pooled_isotonic,kpx_group_2,0.6331640749033667,0.13275052724400654,0.39907867705074
rf_hist_p90,raw,kpx_group_3,0.5614481267959562,0.15158023623342554,0.27447648982533795
rf_hist_p90,pooled_isotonic,kpx_group_3,0.5608970264141454,0.1522439360695453,0.27403798889783615
none,pooled_isotonic,mean,0.6093854800896937,0.1324940330930232,0.35126499327241056
none,raw,mean,0.6048505915782729,0.13162694243457135,0.3413281255911172
rf_hist_cubic,pooled_isotonic,mean,0.6031167686485585,0.13799271684545508,0.3442262541425721
rf_hist_p90,pooled_isotonic,mean,0.6030929128598937,0.1379862744372158,0.3441721001570035
rf_hist_cubic,raw,mean,0.6022814760852504,0.137268354448616,0.34183130661911676
rf_hist_p90,raw,mean,0.6022576669189824,0.1372683220273362,0.3417836558653011
rf_cubic,pooled_isotonic,mean,0.6001670832546179,0.13950789613311745,0.3398420626423532
rf_p90,pooled_isotonic,mean,0.6001629483689852,0.13955507940243506,0.3398809761404055
rf_cubic,raw,mean,0.5999498949706287,0.13874699639929203,0.3386467863405494
rf_p90,raw,mean,0.599824004643129,0.13879075223038131,0.33843876151663926
